,,,Tháng 07/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23, BT12-29,4,"Link ảnh, thông tin","Bàn Bi a mini, Bi lắc",6,8,8,6,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Phòng karaoke,  Bàn Bi a mini, Bi lắc"
24, BT12-30,5,"Link ảnh, thông tin", Hướng vịnh,4.5,7,7,4.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Hướng vịnh
25, BT2-19,5,Link ảnh- Thông tin," Sân vườn, dàn Karaoke",6.5,7,7.5,6.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Sân vườn, dàn Karaoke"
26, BT3-12A,4,Link ảnh- Thông tin,  View nội khu,6.5,7,7.5,6.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, View nội khu
27, BT6B-6A,5," Link ảnh, thông tin","Sân vườn rộng, View Golf",6.5,7,7.5,6.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Sân vườn rộng, View Golf"
28,BT6B-19,5,"Link ảnh, thông tin","Sân vườn rộng,View Vịnh",7.5,8,8.5,7.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Sân vườn rộng,View Vịnh"
29, BT6-25,5, Link ảnh- thông tin,  View nội khu,6.5,7,7.5,6.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,  View nội khu
30,BT8-6A,5,"Link ảnh, thông tin","Sân vườn rộng, View Vịnh",7.5,9,9.5,7.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Sân vườn rộng, View Vịnh"
31,BT12-03,7,"Link ảnh, thông tin"," Vườn rộng, View Golf",8.5,9,9.5,8.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Vườn rộng, View Golf"
22, BT12-25,7,"Link ảnh, thông tin","Phòng karaoke, View nội khu",8.5,9,9.5,8.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Phòng karaoke, View nội khu"
32, BT12-40,5,"Link ảnh, thông tin","Phòng karaoke, sân vườn rộng, cầu trượt, View Vịnh, Bi a",9,11,11,9,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Phòng karaoke, sân vườn rộng, cầu trượt, View Vịnh, Bi a"
33, BT3-01,5,"Link ảnh,thông tin", Hướng vịnh,5.5,8,9.5,5.5,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Hướng vịnh
34, BT3-24,6,"Link ảnh, thông tin", Hướng vịnh,6.5,8.5,10.5,6.5,17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Hướng vịnh
35, BT3-28,5,"Link ảnh, thông tin", View vịnh,5.5,7.5,9,5.5,14,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, View vịnh
36,BT9-39B,7,Link ảnh- thông tin, View khách sạn FLC,6.5,9,10,6.5,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, View khách sạn FLC
,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
