6,C5-19,6,Ảnh- Thông tin,Bể bơi riêng,8.5,10,25tr/2đ,,1,8tr,3,4,5,6,7tr,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Bể bơi riêng, Không
7,M6-42,5,"Ảnh, thông tin"," Bể bơi riêng, dàn karaoke, bàn Bi a",8.5,9.5,24tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể bơi riêng, dàn karaoke, bàn Bi a", Không
8,C2-18,5,"Ảnh, thông tin"," 2 Bể bơi riêng, Nội thất chill",9,11,25tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," 2 Bể bơi riêng, Nội thất chill", Không
9,C7-28,6,"Ảnh, thông tin","Bể bơi riêng, view biển",8.5,8.5,25tr/2đ,,1,2,3,4,5,6,8tr,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Bể bơi riêng, view biển", Không
10, C6-25,6, Ảnh- thông tin," Bể Bơi riêng, bàn Bi-A",8,9,25tr/2đ,,1,2,3,4,5,6,6tr,8,9,27.5tr,,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể Bơi riêng, bàn Bi-A", Có
11,M2-36,6,Ảnh-thông tin,Bể bơi riêng- bàn bi a,8.5,10,27tr/2đ,,1,2,3,4,5,6,7,8,9,29.5tr,,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Bể bơi riêng- bàn bi a, Không
12,M2-30,8,"Ảnh, thông tin"," Bể Bơi riêng, bàn Bi-A",13,14,38tr/ 2 đêm,,1,2,3,4,5,6,12tr,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể Bơi riêng, bàn Bi-A", Có
13,M5-36,9,Ảnh- Thông tin,"Bể bơi riêng, Bàn Bi a",13,14,38tr/2đ,,1,2,3,4,5,6,7,8,10tr,10,11,12,13,14,15,16,17,27tr,19,20,21,22,23,24,25,26,27,28,29,30,31,"Bể bơi riêng, Bàn Bi a", Không
14, M3-21,8, Ảnh -Thông tin,"Bể bơi riêng, Siêu vip",16,16,38tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Bể bơi riêng, Siêu vip",Không
15,C1-28 VIP,5,Ảnh-thông tin, Bể bơi riêng- bàn Bi A-saunaVIP,9,11,28tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng- bàn Bi A-saunaVIP,Có
16,C3-01,5,"Ảnh, thông tin", Bể bơi riêng- Bi a,7.5,10,23tr/2đ,,1,2,3,4,5,6,7tr,7tr,9,25.5tr,,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể bơi riêng, View biển", Không
17,C5-09,5,Ảnh- thông tin, Bể Bơi riêng,7.5,10,23tr/2đ,,1,2,3,4,5,6,7,8,9,25.5tr,,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng,  Có
18, M6-24,5,"Ảnh, thông tin"," Bể bơi riêng, Phòng Karaoke, bàn bi a",9,10,25tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Bể bơi riêng, Dàn karaoke, Bi a", Có
19,C6-15,5,"Ảnh, thông tin", Bể bơi riêng,8,10,23tr/2đ,,1,2,3,4,5,6,7.5,8,9,25.5tr,,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể bơi riêng, Phòng Karaoke, bàn bi a",  Không
20,C1-26,6,"Ảnh, thông tin"," Bể Bơi riêng, bàn Bi-A",8.5,10,24tr/2đ,,1,8tr,3,4,5,6,8tr,8,8tr,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Không
21,M2-41,6,"Ảnh, thông tin"," Bể bơi riêng, View biển",8,10,24tr/2đ,,1,7.5,3,4,5,6,7,7.5,7.5,27tr,,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Không
22,   M3-34,7,"Ảnh, thông tin","Bể bơi riêng, Dàn karaoke, Bi a",9,11,26tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Không
23, C6-22,6, Ảnh- thông tin, Bể bơi riêng,8.5,10,24tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Không
24, C7-10,6, Ảnh- thông tin, Bể bơi riêng,7,10,24tr/2đ,,1,2,3,15.5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể Bơi riêng, bàn Bi-A", Không
25,TH703,5, Ảnh- thông tin, Bể bơi riêng,6.5,7.5,22tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Không
26, TH709,6, Ảnh- thông tin, Bể bơi riêng,7,9,10,11,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Không
27,M5-22,7,"Ảnh, thông tin", Bể bơi riêng,10,12,30 tr/ 2 đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Có
28,M1-01,8,"Ảnh, thông tin"," Bể Bơi riêng, bàn Bi-A",11,13,34tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể Bơi riêng, bàn Bi-A", Có
29,M5-21,11+1,"Ảnh, thông tin"," Bể Bơi riêng, bàn Bi-A",19,21,52tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể Bơi riêng, bàn Bi-A", Có
30,C2-29,12,"Ảnh, thông tin", Bể bơi riêng,17,20,52tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Có
31,  M5-38,7,"  Ảnh, thông tin"," Bể bơi riêng, Bàn Bi a",12,13,32 tr/ 2 đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể Bơi riêng, bàn Bi-A", Có
32,C3-31,6,"Ảnh, thông tin"," Bể Bơi riêng, bàn Bi-A",8.5,8.5,26tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể Bơi riêng, bàn Bi-A", Không
33,C5-31,5,"Ảnh, thông tin", Bể Bơi riêng,8,8,25tr/2đ,,1,2,3,14tr,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể Bơi riêng, Không
34,C5-32,5,"Ảnh, thông tin", Bể Bơi riêng,8,8,25tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể Bơi riêng, Không
35,C2-19,7,"Ảnh, thông tin", Bể bơi riêng,8.5,8.5,26tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Có
36,C8-06,7,"Ảnh, thông tin"," Bể Bơi riêng, bàn Bi-A",8.5,9,26tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể Bơi riêng, bàn Bi-A", Có
37,C6-33,7,"Ảnh, thông tin"," Bể bơi riêng, mặt biển",14,14,36tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể bơi riêng, mặt biển", Có
38,C7-07,7,"Ảnh, thông tin"," Bể Bơi riêng, bàn Bi-A, dàn Karaoke",13,13,34tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể Bơi riêng, bàn Bi-A, dàn Karaoke", Có
39, C6-05,6, Ảnh- thông tin," Bể bơi riêng, bàn bilac",7.5,8.5,23tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể bơi riêng, bàn bilac", Có
40,M6-11,5,Ảnh- Thông tin," Bể Bơi riêng, bàn Bi-A",9.5,12.5,25tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể Bơi riêng, bàn Bi-A", Có
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,VILLA HOT ,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
43, MYAN ,6, Ảnh- thông tin," Bể bơi riêng, bàn bi a, sân vườn, cầu trượt",11,11,14,14,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể bơi riêng, bàn bi a, sân vườn, cầu trượt", Không
44, Sun And Sea,5,Ảnh- thông tin," Bể bơi riêng, sân vườn, sát bãi tắm",10,10,15,15,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể bơi riêng, sân vườn, sát bãi tắm", Không
45,Mon R80,5,Ảnh Thông tin," Bể bơi riêng, sân vườn, sát bãi tắm",10,10,14,14,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Bể bơi riêng, sân vườn, sát bãi tắm",
43,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
44,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
45,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
,Lưu ý nhấp vào dòng chữ xanh trong cột để xem linh ảnh thông tin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
